EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain,,,,
2205,Koelreuteria paniculata,0.056782334,,SCAQMD,,,,
2205,Lagerstroemia indica,0.041009464,,SCAQMD,,,,
2205,Liriodendron tulipifera,0.012618297,,SCAQMD,,,,
2205,Pistacia chinensis,0.107255521,,SCAQMD,,,,
2205,Platanus acerifolia,0.028391167,,SCAQMD,,,,
2205,Quercus agrifolia,0.075709779,,SCAQMD,,,,
2205,Quercus lobata,0.009463722,,SCAQMD,,,,
2205,Quercus palustris,0.022082019,,SCAQMD,,,,
2205,Quercus shumardii,0.025236593,,SCAQMD,,,,
2205,Quercus virginiana,0.069400631,,SCAQMD,,,,
2205,Ulmus parvifolia,0.176656151,,SCAQMD,,,,
2205,Zelkova serrata,0.034700315,,SCAQMD,,,,
2210,Celtis laevigata,0.04,,SCAQMD,,,,
2210,Cercis canadensis,0.1,,SCAQMD,,,,
2210,Gleditsia triacanthos,0.14,,SCAQMD,,,,
2210,Koelreuteria bipinnata,0.1,,SCAQMD,,,,
2210,Lagerstroemia indica,0.1,,SCAQMD,,,,
2210,Liriodendron tulipifera,0.16,,SCAQMD,,,,
2210,Pistacia chinensis,0.1,,SCAQMD,,,,
2210,Platanus occidentalis,0.08,,SCAQMD,,,,
2210,Quercus lobata,0.18,,SCAQMD,,,,
2212,Acacia,0.00007518,,SCAQMD,,,,
2212,Acacia decurrens,0.00004582,,SCAQMD,,,,
2212,Acacia melanoxylon,0.0000257,,SCAQMD,,,,
2212,Acer buergerianum,0.0001266,,SCAQMD,,,,
2212,Acer negundo,0.00001285,,SCAQMD,,,,
2212,Acer oblongum,0.00004582,,SCAQMD,,,,
2212,Acer palmatum,0.00005139,,SCAQMD,,,,
2212,Acer rubrum,0.00004221,,SCAQMD,,,,
2212,Acer saccharinum,0.01173,,SCAQMD,,,,
2212,Acer saccharum,0.00002936,,SCAQMD,,,,
2212,Agathis robusta,0.0001081,,SCAQMD,,,,
2212,Ailanthus altissima,0.000473,,SCAQMD,,,,
2212,Albizia distachya,0.0005338,,SCAQMD,,,,
2212,Albizia julibrissin,0.00399,,SCAQMD,,,,
